
> alica-v2@0.0.0 schema
> python3 -S tools/run-design.py

      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "reject-non-acap-value-77",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "reject-non-acap-value-78",
      "passed": true,
      "expectedValid": false,
      "direction": null
    },
    {
      "case": "accept-acap-value-79",
      "passed": true,
      "expectedValid": true,
      "direction": null
    },
    {
      "case": "accept-acap-value-80",
      "passed": true,
      "expectedValid": true,
      "direction": null
    },
    {
      "case": "accept-acap-value-81",
      "passed": true,
      "expectedValid": true,
      "direction": null
    },
    {
      "case": "accept-acap-value-82",
      "passed": true,
      "expectedValid": true,
      "direction": null
    },
    {
      "case": "accept-acap-value-83",
      "passed": true,
      "expectedValid": true,
      "direction": null
    },
    {
      "case": "control-context-ready",
      "passed": true,
      "expectedValid": true,
      "direction": "toBroker"
    },
    {
      "case": "control-not-from-broker-context-ready",
      "passed": true,
      "expectedValid": false,
      "direction": "toProvider"
    },
    {
      "case": "control-task-open",
      "passed": true,
      "expectedValid": true,
      "direction": "toBroker"
    },
    {
      "case": "control-not-from-broker-task-open",
      "passed": true,
      "expectedValid": false,
      "direction": "toProvider"
    },
    {
      "case": "control-event-ack",
      "passed": true,
      "expectedValid": true,
      "direction": "toBroker"
    },
    {
      "case": "control-not-from-broker-event-ack",
      "passed": true,
      "expectedValid": false,
      "direction": "toProvider"
    },
    {
      "case": "control-bind",
      "passed": true,
      "expectedValid": true,
      "direction": "toBroker"
    },
    {
      "case": "control-not-from-broker-bind",
      "passed": true,
      "expectedValid": false,
      "direction": "toProvider"
    },
    {
      "case": "control-register",
      "passed": true,
      "expectedValid": true,
      "direction": "toBroker"
    },
    {
      "case": "control-not-from-broker-register",
      "passed": true,
      "expectedValid": false,
      "direction": "toProvider"
    },
    {
      "case": "control-withdraw",
      "passed": true,
      "expectedValid": true,
      "direction": "toBroker"
    },
    {
      "case": "control-not-from-broker-withdraw",
      "passed": true,
      "expectedValid": false,
      "direction": "toProvider"
    },
    {
      "case": "control-secret",
      "passed": true,
      "expectedValid": true,
      "direction": "toBroker"
    },
    {
      "case": "control-not-from-broker-secret",
      "passed": true,
      "expectedValid": false,
      "direction": "toProvider"
    },
    {
      "case": "control-subscribe",
      "passed": true,
      "expectedValid": true,
      "direction": "toBroker"
    },
    {
      "case": "control-not-from-broker-subscribe",
      "passed": true,
      "expectedValid": false,
      "direction": "toProvider"
    },
    {
      "case": "control-unsubscribe",
      "passed": true,
      "expectedValid": true,
      "direction": "toBroker"
    },
    {
      "case": "control-not-from-broker-unsubscribe",
      "passed": true,
      "expectedValid": false,
      "direction": "toProvider"
    },
    {
      "case": "control-scope-create",
      "passed": true,
      "expectedValid": true,
      "direction": "toBroker"
    },
    {
      "case": "control-not-from-broker-scope-create",
      "passed": true,
      "expectedValid": false,
      "direction": "toProvider"
    },
    {
      "case": "control-scope-check",
      "passed": true,
      "expectedValid": true,
      "direction": "toBroker"
    },
    {
      "case": "control-not-from-broker-scope-check",
      "passed": true,
      "expectedValid": false,
      "direction": "toProvider"
    },
    {
      "case": "control-log",
      "passed": true,
      "expectedValid": true,
      "direction": "toBroker"
    },
    {
      "case": "control-not-from-broker-log",
      "passed": true,
      "expectedValid": false,
      "direction": "toProvider"
    },
    {
      "case": "valid-digest-shape-does-not-authenticate",
      "passed": true,
      "expectedValid": true,
      "direction": "toBroker"
    },
    {
      "case": "valid-name-shape-does-not-authenticate",
      "passed": true,
      "expectedValid": true,
      "direction": "toBroker"
    },
    {
      "case": "invoke-on-work-lane",
      "passed": true,
      "expectedValid": true,
      "direction": "workToProvider"
    },
    {
      "case": "invoke-not-on-control-lane",
      "passed": true,
      "expectedValid": false,
      "direction": "controlToProvider"
    },
    {
      "case": "hello-on-control-lane",
      "passed": true,
      "expectedValid": true,
      "direction": "controlToBroker"
    },
    {
      "case": "hello-not-on-work-lane",
      "passed": true,
      "expectedValid": false,
      "direction": "workToBroker"
    },
    {
      "case": "context-ready-control-lane",
      "passed": true,
      "expectedValid": true,
      "direction": "controlToBroker"
    },
    {
